"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"65",7,"Bryan Edwards",LV,"8"," 4.8","-4","-0.8","25% (3/12)"
"66",7,"Rashod Bateman",BAL,"8"," 4.2","+5","-","-"
"67",7,"Jamison Crowder",NYJ,"6"," 8.0","+6","+1.2","58% (7/12)"
"68",7,"Parris Campbell",IND,"14"," 4.0","+13","-4.1","25% (1/4)"
"69",7,"Tre'Quan Smith",NO,"6"," 5.8","+9","-0.7","33% (5/15)"
"70",7,"Terrace Marshall Jr.",CAR,"13"," 9.2","-6","-","-"
"71",7,"Christian Kirk",ARI,"12"," 2.4","+3","-0.3","42% (6/14)"
"72",7,"Emmanuel Sanders",BUF,"7"," 6.0","+5","+0.5","57% (8/14)"
"73",7,"T.Y. Hilton",IND,"14"," 3.4","-4","-1.1","26% (4/15)"
"74",7,"A.J. Green",ARI,"12"," 3.0","-15","-2.6","37% (6/16)"
"75",7,"Amon-Ra St. Brown",DET,"9"," 3.8","-8","-","-"
"76",7,"Darius Slayton",NYG,"10"," 7.0","+10","-2.9","25% (4/16)"
"77",7,"Marquez Valdes-Scantling",GB,"13"," 4.4","-7","+0.6","37% (6/16)"
